cityStartName,cityEndName,priceLowest,nameBus,durationBus
Hà Nội,An Giang,,,
Hà Nội,Hồ Chí Minh, 900.000đ,Hoàng Long TN,35h
Hà Nội,Bình Dương, 1.040.000đ,Hoàng Long Hải Vân,35h
Hà Nội,Bà Rịa Vũng Tàu,,Minh Phúc,32h
Hà Nội,Bến Tre,,,
Hà Nội,Bạc Liêu,,,
Hà Nội,Bắc Kạn, 260.000đ,Việt Ngân Luxury Limousine,3h30m
Hà Nội,Bắc Ninh, 140.000đ,Tùng Tuấn Limousine,1h
Hà Nội,Cà Mau,,Hoàng Thìn (Cà Mau),42h
Hà Nội,Bình Thuận, 880.000đ,HTX Hoàng Long,27h
Hà Nội,Buôn Ma Thuột, 780.000đ,Anh Khôi,24h55m
Hà Nội,Đà Lạt,,Tài Thắng,35h
Hà Nội,Đà Nẵng, 380.000đ,Dương Vũ,13h
Hà Nội,Côn Đảo,,,
Hà Nội,Cần Thơ, 350.000đ,Kết Đoàn Travel,2h10m
Hà Nội,Bình Định, 580.000đ,Thuận Hưng (Nha Trang),16h15m
Hà Nội,Bình Phước,,,
Hà Nội,Cao Bằng, 300.000đ,Vĩnh Dung,7h
Hà Nội,Đắk Nông, 850.000đ,Thiên Trung,25h40m
Hà Nội,Đắk Lắk, 780.000đ,Anh Khôi,24h55m
Hà Nội,Điện Biên, 350.000đ,Đức Quyến,11h30m
Hà Nội,Đồng Nai, 900.000đ,Hoàng Long TN,34h15m
Hà Nội,Hà Nam, 110.000đ,Thời Đại 4.0 Limousine,1h10m
Hà Nội,Đồng Tháp,,,
Hà Nội,Hạ Long, 170.000đ,Route Hạ Long Limosine,2h30m
Hà Nội,Kiên Giang,,,
Hà Nội,Huế, 380.000đ,Dương Vũ,11h30m
Hà Nội,Hòa Bình, 100.000đ,Bình An,1h30m
Hà Nội,Hà Tĩnh, 250.000đ,Thăng Long,6h20m
Hà Nội,Hải Phòng, 80.000đ,Anh Huy (Hải Phòng),1h15m
Hà Nội,Lạng Sơn, 220.000đ,Hùng Ngọc Limousine,1h35m
Hà Nội,Hà Giang, 190.000đ,Vũ Hán Group,6h50m
Hà Nội,Long An,,,
Hà Nội,Nam Định, 95.000đ,Nam Định Limousine,1h45m
Hà Nội,Hà Tiên,,,
Hà Nội,Nghệ An, 180.000đ,Mận Tịnh,4h10m
Hà Nội,Ninh Bình, 150.000đ,Duy Khang Limousine,2h55m
Hà Nội,Phan Thiết, 880.000đ,HTX Hoàng Long,27h
Hà Nội,Ninh Thuận, 790.000đ,Hoàng Long Hải Vân,27h
Hà Nội,Phú Quốc,,,
Hà Nội,Quảng Bình, 300.000đ,Thuận Hiền,8h30m
Hà Nội,Phú Thọ, 70.000đ,Hoàng Hà (Phú Thọ),2h25m
Hà Nội,Quảng Ngãi, 530.000đ,Thuận Hưng (Nha Trang),14h45m
Hà Nội,Kon Tum, 600.000đ,Việt Tân,21h30m
Hà Nội,Lào Cai, 180.000đ,Vũ Hán Group,3h50m
Hà Nội,Pleiku, 630.000đ,Thuận Ý,21h10m
Hà Nội,Phú Yên, 630.000đ,Thuận Hưng (Nha Trang),17h45m
Hà Nội,Quy Nhơn, 580.000đ,Thuận Hưng (Nha Trang),16h15m
Hà Nội,Sơn La, 180.000đ,Ka Linh,5h
Hà Nội,Quảng Trị, 330.000đ,Dương Vũ,10h30m
Hà Nội,Sa Pa Lao Cai, 230.000đ,SaPa Explore,6h10m
Hà Nội,Tây Ninh, 1.090.000đ,Hoàng Long Hải Vân,36h
Hà Nội,Quảng Ninh, 150.000đ,Hùng Đức (Quảng Ninh),2h15m
Hà Nội,Sóc Trăng,,,
Hà Nội,Nha Trang, 730.000đ,Thuận Hưng (Nha Trang),20h45m
Hà Nội,Trà Vinh,,,
Hà Nội,Thái Bình, 120.000đ,Hải Âu,2h30m
Hà Nội,Tiền Giang,,,
Hà Nội,Vĩnh Phúc, 50.000đ,Vũ Hán Group,0h15m
Hà Nội,Vĩnh Long,,,
Hà Nội,Yên Bái, 140.000đ,Vũ Hán Group,3h15m
Hà Nội,Tuyên Quang, 130.000đ,Vũ Hán Group,3h20m
Hà Nội,Thanh Hóa, 150.000đ,Tiến Tiến,2h30m
